Australian Bureau of Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,,,,
SA2 (UR) by HEAP - 1 Digit Level by CITP Australian Citizenship,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,
CITP Australian Citizenship,Australian,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SA2 (UR),Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total,pop,bach.count,bach
Babinda,28,33,232,189,756,1141,6,360,113,178,686,3724,2860,293,10.24475524
Cootamundra,64,62,411,455,1147,2005,12,861,223,470,1210,6919,5239,537,10.25004772
Woodroffe,22,24,155,160,569,832,8,148,46,105,670,2734,1959,201,10.26033691
Southern Downs - West,38,27,262,268,685,1322,5,472,104,258,726,4170,3186,327,10.26365348
Berriedale - Chigwell,46,51,284,248,903,1549,3,498,132,260,995,4966,3711,381,10.26677445
Coonamble,28,19,207,164,445,1027,9,480,85,253,737,3461,2471,254,10.27923917
Mareeba,74,73,553,480,1449,2807,4,1125,242,603,1898,9308,6807,700,10.28353166
Nhill Region,60,72,371,378,952,1879,0,1016,157,358,991,6240,4891,503,10.28419546
Gympie - South,43,65,367,361,1050,1934,3,637,139,246,1258,6102,4598,475,10.33057851
Derwent Valley,49,33,133,182,471,872,0,272,67,161,526,2768,2081,215,10.33157136
Chinchilla,32,40,430,374,1128,1984,4,719,131,286,1687,6830,4857,502,10.33559811
Bullsbrook,39,27,258,267,863,1356,0,210,100,182,900,4209,3127,324,10.36136872
Mandurah,65,80,438,447,1217,2472,7,673,219,496,883,6996,5617,583,10.37920598
Bradbury - Wedderburn,227,103,899,1050,2585,5024,18,1401,519,534,4025,16386,11827,1229,10.39147713
Dakabin - Kallangur,168,181,1198,1441,3806,6330,20,1277,461,600,4665,20149,14884,1547,10.39371137
Grafton,159,149,988,943,2884,4799,40,1999,511,1131,3298,16883,12454,1296,10.40629517
Munruben - Park Ridge South,43,32,253,248,800,1388,0,273,120,108,815,4073,3150,328,10.41269841
Parkes Region,33,24,177,169,500,879,3,361,93,184,572,3002,2246,234,10.41852182
Kingston - Robe,25,44,206,207,569,1120,0,360,102,193,540,3372,2639,275,10.42061387
Central Highlands,26,15,107,91,258,613,3,256,45,116,320,1851,1415,148,10.45936396
St Marys - North St Marys,190,65,713,703,1837,4005,13,1360,362,772,2787,12805,9246,968,10.46939217
Booral - River Heads,57,41,231,250,872,1205,5,356,134,166,749,4057,3142,329,10.47103756
Waikiki,92,96,585,701,1968,3143,6,554,242,348,2300,10030,7382,773,10.47141696
Inverell,65,86,654,549,1785,2981,15,1264,269,692,2160,10516,7664,805,10.50365344
Warwick,139,157,763,717,2171,4414,13,1374,327,734,2896,13709,10079,1059,10.50699474
Nyngan - Warren,29,26,276,205,605,1359,0,531,115,306,864,4320,3150,331,10.50793651
Tumut,41,41,338,321,896,1547,5,672,132,337,1070,5403,3996,420,10.51051051
Devonport,128,131,741,788,2064,3922,25,1435,293,786,2246,12541,9509,1000,10.51635293
Glen Innes,77,65,468,496,1213,2185,9,1029,254,465,1377,7634,5792,610,10.53176796
Gunnedah Region,17,26,243,244,595,1051,0,468,67,260,720,3694,2714,286,10.53795136
Rothwell - Kippa-Ring,114,130,887,970,2395,4568,3,1269,394,741,2873,14343,10729,1131,10.54152298
Grafton Region,172,143,804,877,2683,3842,21,1615,463,773,2298,13686,10615,1119,10.54168629
Rockhampton Region - East,45,31,168,174,630,868,4,322,67,159,608,3081,2314,244,10.54451167
Andergrove - Beaconsfield,96,129,807,689,2733,4038,5,1029,246,384,2996,13158,9778,1032,10.55430558
Yarram,45,67,280,295,893,1402,5,581,137,291,685,4687,3711,392,10.56319051
Chambers Flat - Logan Reserve,39,30,274,276,775,1416,3,301,124,100,870,4217,3247,343,10.56359717
Burpengary,120,130,739,913,2405,3865,11,882,289,402,2639,12401,9360,989,10.56623932
Charters Towers,57,73,416,315,965,2256,6,928,145,383,1586,7135,5166,546,10.56910569
Kingaroy Region - South,23,34,226,230,641,1072,7,356,89,178,715,3570,2677,283,10.5715353
Merredin,21,46,270,200,593,1616,0,362,72,203,883,4273,3187,337,10.57420772
Slade Point,39,25,167,167,576,908,3,228,65,142,638,2964,2184,231,10.57692308
Naracoorte,33,46,319,276,806,1635,8,486,152,312,998,5070,3760,398,10.58510638
Tumbarumba,26,33,177,184,502,890,3,337,73,183,519,2930,2228,236,10.59245961
Tinana,30,60,313,343,981,1502,4,444,130,208,949,4959,3802,403,10.59968438
Wambo,82,127,938,791,2449,4662,8,1437,316,761,3502,15083,10820,1147,10.60073937
Esk,40,58,278,308,746,1404,3,583,127,278,764,4588,3546,376,10.6034969
Portland,69,127,591,583,1769,2792,16,1256,217,566,1653,9634,7415,787,10.61362104
Parkes (NSW),86,86,579,489,1712,2794,8,1063,250,586,2096,9756,7074,751,10.61634153
Nuriootpa,62,52,383,408,1049,1903,0,656,161,313,1124,6115,4678,497,10.62419838
Weddell,43,42,185,215,815,952,0,198,88,171,793,3503,2539,270,10.63410792
Lockington - Gunbower,25,33,211,198,649,1027,0,333,45,195,680,3403,2528,269,10.64082278
Crows Nest - Rosalie,82,74,458,519,1306,2210,4,950,158,422,1531,7716,5763,614,10.65417317
Cabramatta - Lansvale,170,58,1299,941,1286,6341,27,2473,1740,838,3787,18957,14332,1527,10.65447949
Girrawheen,66,47,419,365,986,2244,11,574,289,328,1547,6868,4993,532,10.65491688
Slacks Creek,107,41,460,536,1207,2386,13,721,226,317,1799,7816,5700,608,10.66666667
Cabramatta West - Mount Pritchard,144,52,947,776,1453,4753,15,1635,938,538,3047,14300,10715,1143,10.66728885
Pearcedale - Tooradin,69,74,407,500,1399,1982,0,566,156,265,1468,6888,5155,550,10.66925315
Young,71,80,592,515,1579,2756,11,1092,267,598,2090,9651,6963,743,10.67068792
Raceview,115,122,818,893,2510,3982,12,1122,283,449,3251,13562,9862,1055,10.69762726
Mount Gambier - East,133,125,810,720,2327,4292,13,1260,301,564,2817,13363,9982,1068,10.69925867
Ararat,52,106,410,471,1104,2001,7,945,213,461,1134,6897,5302,568,10.71293851
Gympie Region,163,178,994,1165,3146,4924,18,1439,424,772,3134,16366,12460,1335,10.71428571
Quorn - Lake Gilles,14,25,121,107,345,613,0,227,40,148,285,1926,1493,160,10.71667783
Torquay - Scarness - Kawungan,122,151,805,835,2307,3992,19,1434,391,732,2068,12855,10055,1078,10.72103431
Deniliquin Region,45,51,386,405,908,1848,13,703,128,439,1091,6025,4495,482,10.72302558
Wagin,24,55,256,221,589,1520,0,352,103,226,816,4162,3120,335,10.73717949
Burnie - Ulverstone Region,45,47,273,259,864,1299,8,476,128,238,817,4451,3396,365,10.74793875
Yarrawonga,62,77,420,430,1282,1913,9,824,166,546,1252,6980,5182,559,10.7873408
Junee,42,37,288,254,827,1312,14,505,120,294,998,4694,3402,367,10.7877719
Warragamba - Silverdale,67,26,285,300,981,1340,3,362,139,154,1087,4744,3503,378,10.79075079
Kings Park (Vic.),85,58,753,645,1215,3480,5,1500,549,590,2169,11060,8301,896,10.79388026
Clermont,24,15,201,129,542,998,0,254,56,124,775,3118,2219,240,10.81568274
Esperance,73,122,612,575,1728,3318,5,767,257,590,2138,10185,7457,807,10.8220464
Leeton,81,63,549,418,1415,2593,8,1057,214,518,1825,8744,6401,693,10.82643337
Logan Village,60,58,381,414,1262,1895,5,371,153,182,1282,6072,4608,499,10.82899306
Grenfell,23,28,217,198,509,998,0,421,80,229,549,3250,2472,268,10.84142395
Temora,37,57,408,301,994,1848,9,822,156,370,1199,6195,4626,502,10.85170774
Singleton,166,117,887,803,2996,4016,19,1402,375,495,3158,14428,10775,1170,10.85846868
Bentley Park,56,62,393,462,1235,1976,6,331,179,190,1972,6864,4702,511,10.86771587
Sheffield - Railton,55,59,344,362,966,1637,4,640,137,328,958,5495,4209,458,10.88144452
Wentworth - Buronga,46,50,322,316,857,1443,6,680,119,398,1041,5279,3840,418,10.88541667
Heathcote,39,58,239,274,761,1062,8,547,87,286,600,3963,3077,336,10.91972701
Barcaldine - Blackall,28,35,296,219,613,1425,0,575,99,226,840,4352,3286,359,10.92513694
Taree Region,128,126,702,791,2199,3087,18,1342,361,733,1663,11144,8748,956,10.92821216
Branyan - Kensington,32,39,276,239,802,1319,5,366,87,139,965,4279,3175,347,10.92913386
Katanning,20,38,220,148,518,1120,5,333,139,228,761,3521,2532,278,10.97946288
Geraldton - North,43,76,419,443,1378,1986,0,403,148,241,1593,6727,4893,538,10.99529941
Melton West,162,118,862,1032,2464,4235,19,1102,378,530,3848,14753,10375,1142,11.00722892
Longford,47,28,233,207,589,1151,0,431,94,216,629,3641,2796,308,11.01573677
Penola,32,27,176,141,417,965,3,281,82,134,590,2854,2130,235,11.03286385
Moora,33,32,255,187,513,1486,0,300,82,181,828,3907,2898,320,11.042098
Le Hunte - Elliston,7,15,144,94,276,726,3,184,43,118,449,2069,1502,166,11.05193076
Goodna,96,69,424,483,1043,2322,15,642,225,268,2160,7757,5329,589,11.05273034
Stawell,74,82,460,476,1209,2094,9,946,222,472,1133,7178,5573,616,11.05329266
Yanchep,65,54,376,469,1220,1857,6,242,188,329,1706,6512,4477,495,11.05651106
Miles - Wandoan,13,20,241,215,526,1045,0,349,76,159,710,3347,2478,274,11.05730428
Gundagai,31,25,206,165,513,980,3,393,52,233,676,3277,2368,262,11.06418919
Bombala,22,15,146,128,356,645,3,283,55,123,379,2155,1653,183,11.0707804
North Mackay,40,57,337,250,1053,1559,0,510,110,305,884,5106,3917,434,11.07990809
Yallourn North - Glengarry,38,53,255,284,910,1134,7,357,82,191,844,4156,3121,346,11.08619032
Regents Park - Heritage Park,127,119,799,908,2276,4132,13,716,334,303,3181,12909,9425,1045,11.08753316
Narromine,39,40,388,322,908,1705,10,667,138,296,1297,5803,4210,467,11.09263658
Burnie - Wivenhoe,42,38,204,188,583,1075,5,349,79,151,542,3250,2557,284,11.10676574
Avoca,26,36,190,225,463,841,9,396,83,187,462,2915,2266,252,11.12091792
Forbes,82,78,587,518,1473,2608,10,1109,256,584,1858,9159,6717,747,11.12103618
Tenterfield,56,64,376,362,952,1746,11,732,168,378,948,5784,4458,496,11.1260655
Corangamite - South,47,83,398,375,1023,1917,3,785,113,352,1257,6353,4744,528,11.12984823
Moira,19,32,143,133,422,667,4,268,50,120,375,2238,1743,194,11.13023523
Geraldton,101,123,613,569,1590,3278,13,969,252,601,1631,9749,7517,837,11.13476121
Buloke,33,80,356,313,866,1694,7,778,82,372,926,5508,4210,469,11.14014252
Bourke - Brewarrina,29,16,205,187,346,912,14,449,78,251,769,3263,2243,250,11.14578689
Collingwood Park - Redbank,61,69,396,494,1069,2030,10,396,194,210,1792,6720,4718,526,11.14879186
Deniliquin,67,66,405,383,1118,1845,7,777,155,506,1172,6501,4823,538,11.15488285
Shellharbour - Oak Flats,124,91,568,723,1762,2553,3,887,301,357,1616,8991,7018,783,11.15702479
Stratton - Jane Brook,64,56,359,396,989,1974,0,295,162,200,1373,5866,4293,479,11.15769858
Bethania - Waterford,94,89,530,585,1474,2623,10,755,221,443,1836,8663,6384,713,11.16854637
West Wimmera,18,32,165,187,349,808,3,294,57,161,445,2531,1925,215,11.16883117
Hill Top - Colo Vale,69,62,318,384,1135,1482,10,398,163,147,1254,5420,4019,449,11.17193332
Berri,38,38,220,205,509,1096,4,426,108,268,698,3615,2649,296,11.17402794
Lithgow Region,105,74,421,468,1409,1898,10,773,200,427,1275,7065,5363,600,11.18776804
Gunnedah,78,78,511,420,1380,2338,13,902,239,508,1797,8254,5949,667,11.2119684
Coober Pedy,19,9,82,82,204,395,0,145,44,132,233,1344,979,110,11.23595506
Byford,132,121,757,932,2565,3675,12,512,280,285,3743,13011,8983,1010,11.24345987
No Usual Address (SA),32,20,129,110,364,656,0,214,76,148,188,1943,1607,181,11.2632234
Williamtown - Medowie - Karuah,154,102,768,988,2586,3132,16,1003,323,505,2634,12221,9082,1024,11.27504955
Batemans Bay,88,99,398,426,1232,2011,3,698,226,502,1147,6835,5186,585,11.28037023
Coombabah,123,68,525,641,1486,2531,4,705,248,507,1379,8224,6338,716,11.2969391
Summerhill - Prospect,38,31,303,228,827,1366,0,405,106,203,778,4271,3290,372,11.30699088
Hadspen - Carrick,23,24,214,182,601,948,4,235,73,107,596,3006,2303,261,11.33304386
Pialba - Eli Waters,166,112,761,788,2037,3710,12,1273,311,771,2158,12093,9164,1039,11.33784374
Windsor - Bligh Park,201,125,855,913,2663,4072,12,1201,376,439,3017,13871,10415,1181,11.33941431
High Wycombe,78,117,673,650,1910,3371,3,594,247,266,2123,10040,7651,868,11.34492223
Stanthorpe,47,40,325,292,693,1504,0,598,128,286,871,4788,3631,412,11.34673644
Mount Warren Park,51,53,306,358,877,1499,3,356,121,148,1037,4797,3612,410,11.35105205
Morayfield,53,44,294,353,880,1422,0,285,101,138,775,4350,3437,391,11.37620017
Port Lincoln,112,151,925,790,2470,4376,13,1243,347,654,2782,13861,10425,1188,11.39568345
Lethbridge Park - Tregear,326,62,841,762,1712,4917,31,1746,378,935,4536,16250,10779,1229,11.4017998
Frankston North,203,190,973,1241,2872,4504,24,1560,408,940,3022,15940,11978,1366,11.40424111
Eyre Peninsula,60,72,381,354,907,1999,6,547,178,366,1117,5981,4498,513,11.40506892
Maddington - Orange Grove - Martin,147,69,646,664,1620,3321,4,755,330,511,2131,10198,7556,862,11.40815246
Heatley,44,28,232,181,592,1165,0,337,85,134,678,3475,2663,304,11.41569658
Macksville - Scotts Head,45,47,281,270,784,1146,6,533,142,272,783,4322,3267,373,11.41720233
Tumut Region,42,34,280,289,739,1165,0,458,102,261,795,4173,3117,356,11.42123837
Carrum Downs,213,171,1080,1342,3143,5064,16,1343,437,791,3723,17330,12816,1464,11.42322097
Plantagenet,39,46,283,301,691,1436,0,292,129,227,800,4247,3220,368,11.42857143
Fairfield - West,190,77,1025,923,1449,4921,9,1742,968,562,3144,15010,11304,1292,11.42958245
